date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20110228,2011-02-28,2011,1,2,February,28,1,Monday,False
20110301,2011-03-01,2011,1,3,March,1,2,Tuesday,False
20110302,2011-03-02,2011,1,3,March,2,3,Wednesday,False
20110303,2011-03-03,2011,1,3,March,3,4,Thursday,False
20110304,2011-03-04,2011,1,3,March,4,5,Friday,False
20110305,2011-03-05,2011,1,3,March,5,6,Saturday,True
20110306,2011-03-06,2011,1,3,March,6,7,Sunday,True
20110307,2011-03-07,2011,1,3,March,7,1,Monday,False
20110308,2011-03-08,2011,1,3,March,8,2,Tuesday,False
20110309,2011-03-09,2011,1,3,March,9,3,Wednesday,False
20110310,2011-03-10,2011,1,3,March,10,4,Thursday,False
